id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
14603,11309,Haiming,47.25972,10.88944,659.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,126,2007-08-20 00:00:00+00:00,,nein
14622,11317,St. Leonhard/Pitztal,47.02722,10.86556,1454.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,210,2008-01-01 00:00:00+00:00,,nein
14631,11117,Umhausen,47.13917,10.92889,1035.0,2003-06-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,136,2003-10-01 00:00:00+00:00,,nein
14701,11324,Neustift/Milders,47.10278,11.29194,1006.6,2004-11-04 17:30:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
14801,11128,Brenner,47.005554,11.513333,1445.0,1992-12-16 10:30:00+00:00,2008-02-01 00:00:00+00:00,Tirol,True,True,,16,1993-01-01 00:00:00+00:00,2007-11-30 23:59:59+00:00,nein
14802,11129,Brenner,47.00722,11.51083,1412.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,16,2007-12-01 00:00:00+00:00,,nein
14812,11126,Patscherkofel,47.20889,11.46222,2251.0,1993-08-25 13:40:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,196,2008-01-01 00:00:00+00:00,,nein
14822,11123,Rinn,47.24917,11.50389,924.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,127,2008-01-01 00:00:00+00:00,,nein
14825,11326,Schmirn,47.08722,11.58028,1464.0,2004-11-03 16:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
14833,11329,Steinach/Tirol,47.09833,11.46611,1036.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,139,2008-01-01 00:00:00+00:00,,nein
14912,11250,Hintertux,47.10694,11.67472,1503.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,False,,,,,nein
15001,11322,Mayrhofen,47.159443,11.850555,643.0,1992-11-21 00:10:00+00:00,2007-09-06 00:00:00+00:00,Tirol,True,True,,61,1992-09-01 00:00:00+00:00,2007-08-31 23:59:59+00:00,nein
15002,11330,Mayrhofen,47.1625,11.85139,640.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,61,2007-09-01 00:00:00+00:00,,nein
15105,11136,Krimml,47.22911,12.18197,1008.8,1997-06-27 10:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,47,1997-09-01 00:00:00+00:00,,nein
15210,11252,Virgen,47.00278,12.45592,1211.9,1993-05-21 09:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
15321,11138,Rudolfshütte,47.13492,12.62594,2317.0,1992-12-02 08:50:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,82,1992-12-01 00:00:00+00:00,,nein
15344,11200,Kals,47.00478,12.6465,1352.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,43,2007-08-01 00:00:00+00:00,,nein
15402,11346,Rauris,47.22353,12.99262,933.8,1993-06-17 08:50:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,78,1993-06-01 00:00:00+00:00,,nein
15411,11343,Sonnblick,47.05417,12.9575,3109.0,1997-08-31 16:40:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,213,2009-01-01 00:00:00+00:00,,nein
15430,11344,Kolm-Saigurn,47.06944,12.98472,1626.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
15501,11372,Bad Gastein,47.11056,13.13336,1092.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,7,2010-01-01 00:00:00+00:00,,nein
15509,11179,Grossarltal,47.24144,13.19478,882.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,False,,,,,nein
15600,11149,Obertauern,47.26667,13.56667,1742.0,1992-08-29 00:10:00+00:00,1994-04-20 14:00:00+00:00,Salzburg,True,True,,68,1984-09-01 00:00:00+00:00,1994-03-31 23:59:59+00:00,nein
15610,11149,Obertauern,47.24889,13.55972,1772.0,1994-12-14 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,68,1995-01-01 00:00:00+00:00,,nein
15640,8989078,Kölnbreinsperre,47.08305,13.346111,1916.0,2021-11-23 00:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
15702,11148,St. Michael/Lungau,47.09447,13.62269,1051.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,92,2008-11-01 00:00:00+00:00,,nein
15712,11399,Tamsweg,47.13306,13.80833,1025.0,2008-07-09 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,98,2008-10-01 00:00:00+00:00,,nein
15715,11349,Katschberg,47.06056,13.61472,1635.0,1998-11-10 13:20:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
15721,11348,Mariapfarr,47.15222,13.745,1151.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
15901,11377,Oberwölz,47.20206,14.28669,842.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,182,2007-08-01 00:00:00+00:00,,nein
15912,11363,Stolzalpe,47.12303,14.18822,1291.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,97,2007-07-24 00:00:00+00:00,,nein
15920,11280,Murau,47.11111,14.17694,816.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16015,11220,Neumarkt,47.06972,14.42472,869.0,1993-07-29 11:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,64,1993-08-01 00:00:00+00:00,,nein
16101,11365,Zeltweg,47.19983,14.74689,677.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,115,1992-06-01 00:00:00+00:00,,nein
16308,11221,Köflach,47.070277,15.087222,465.0,2004-10-28 13:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16400,11240,Graz Thalerhof Flughafen,46.98056,15.44,340.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16411,11242,St. Radegund,47.18211,15.48978,726.3,2002-07-31 14:20:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,94,1986-04-01 00:00:00+00:00,,nein
16412,11290,Graz-Universität,47.07767,15.44892,366.7,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,30,1988-06-01 00:00:00+00:00,,nein
16413,11238,Graz/Strassgang,47.04611,15.41028,356.5,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16414,11291,Graz Universität/Heinrichstraße,47.08,15.448056,366.0,2022-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,False,False,,30,2022-09-01 00:00:00+00:00,,nein
16421,11241,Schöckl,47.19861,15.46639,1443.0,1993-02-16 13:30:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,86,1993-01-01 00:00:00+00:00,,nein
16501,11247,Gleisdorf,47.11556,15.70806,377.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,200,2008-01-01 00:00:00+00:00,,nein
16511,11292,Lassnitzhöhe,47.07361,15.59222,530.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,53,1990-02-01 00:00:00+00:00,,nein
16521,11243,Weiz,47.218334,15.634444,465.7,2006-01-01 00:00:00+00:00,2013-05-28 00:00:00+00:00,Steiermark,True,True,,201,2007-12-01 00:00:00+00:00,2013-05-31 23:59:59+00:00,nein
16601,11246,Fürstenfeld,47.03083,16.08083,271.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,154,2007-07-01 00:00:00+00:00,,nein
16702,11198,Güssing,47.0625,16.32186,215.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,183,2008-07-01 00:00:00+00:00,,nein
16711,11392,Wörterberg,47.22619,16.09678,403.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,202,2008-01-01 00:00:00+00:00,,nein
16800,11192,Kleinzicken,47.2075,16.326667,263.0,1994-04-07 11:20:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,49,1993-05-01 00:00:00+00:00,,nein
16905,8989071,Gaschurn,46.98583,10.02861,976.3,2006-01-01 00:00:00+00:00,2021-10-07 11:30:00+00:00,Vorarlberg,True,True,,,,,nein
16906,11108,Gaschurn,46.980278,10.031667,985.0,2020-09-01 11:10:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
17002,11312,Galtür,46.96806,10.18556,1587.0,1997-02-13 09:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,28,1996-12-01 00:00:00+00:00,,nein
17005,11310,Ischgl-Idalpe,46.9825,10.31722,2327.0,1993-02-17 14:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
